vendas;;;;Anuncios;;Envios;
Numero da Venda;Data da Venda;Estado Atual;Quantidade por SKU;SKU;Loja Oficial;Data a Caminho;Data de Entrega
2000011245735433;27 de janeiro de 2026 12:59 hs.;Para entregar na coleta do dia 30 de janeiro;1;4-ALLEGRA-PT;Dom Stark; ; 
2000011245562467;27 de janeiro de 2026 12:49 hs.;Para entregar na coleta do dia 3 de fevereiro;2;2-ALLEGRA-PT;Dom Stark; ; 
2000011245162145;27 de janeiro de 2026 12:27 hs.;A caminho;1;4-ALLEGRA-PT;Dom Stark;28 de janeiro | 04:00; 
2000011244873865;27 de janeiro de 2026 12:12 hs.;Para entregar na coleta do dia 3 de fevereiro;4;1-ALLEGRA-PT;Dom Stark; ; 
2000011244870147;27 de janeiro de 2026 12:10 hs.;Para entregar na coleta do dia 2 de fevereiro;1;1-ALLEGRA-PT;Dom Stark; ; 
2000014885275190;27 de janeiro de 2026 12:08 hs.;A caminho;1;2-GRUVYER-PT;Dom Stark;28 de janeiro | 04:19; 
2000011244763493;27 de janeiro de 2026 12:04 hs.;A caminho;2;2-GRUVYER-PT;Dom Stark;28 de janeiro | 04:19; 
2000011244673003;27 de janeiro de 2026 11:59 hs.;A caminho;1;4-CHIFRE-PT;Dom Stark;28 de janeiro | 04:00; 
2000011244521751;27 de janeiro de 2026 11:50 hs.;Pronto para coleta;1;8-ALLEGRA-PT;Dom Stark; ; 
2000011244427275;27 de janeiro de 2026 11:48 hs.;Para entregar na coleta do dia 2 de fevereiro;1;2-ALLEGRA-PT;Dom Stark; ; 
2000011244083377;27 de janeiro de 2026 11:28 hs.;A caminho;1;4-ALLEGRA-PT;Dom Stark;27 de janeiro | 23:06; 
2000011244032075;27 de janeiro de 2026 11:23 hs.;A caminho;1;4-ALLEGRA-PT;Dom Stark;28 de janeiro | 04:00; 
2000011243920697;27 de janeiro de 2026 11:19 hs.;Para entregar na coleta do dia 2 de fevereiro;1;6-ALLEGRA-PT;Dom Stark; ; 
2000011243722831;27 de janeiro de 2026 11:07 hs.;A caminho;1;4-ALLEGRA-PT;Dom Stark;28 de janeiro | 04:56; 
2000014884063960;27 de janeiro de 2026 10:47 hs.;A caminho;1;4-ALLEGRA-PT;Dom Stark;28 de janeiro | 04:56; 
2000011243120945;27 de janeiro de 2026 10:32 hs.;Para entregar na coleta do dia 18 de fevereiro;1;6-ALLEGRA-ND;Dom Stark; ; 
2000014883800226;27 de janeiro de 2026 10:24 hs.;A caminho;1;2-GRUVYER-PT;Dom Stark;28 de janeiro | 04:19; 
2000014883776180;27 de janeiro de 2026 10:22 hs.;Para entregar na coleta do dia 4 de fevereiro;1;4-ALLEGRA-PT;Dom Stark; ; 
